resource_id,utilization_percent
fte_hengelo_2,14.48
fte_sofia_3,13.13
fte_sofia_8,14.08
setup_sofia_5,14.18
fte_hengelo_1,11.49
setup_sofia_6,11.31
setup_hengelo_3,11.21
fte_sofia_4,16.50
fte_hengelo_4,12.98
setup_sofia_8,17.80
setup_sofia_1,15.73
setup_hengelo_1,10.76
setup_sofia_3,12.25
fte_sofia_5,16.50
setup_sofia_2,12.66
fte_sofia_1,12.92
fte_hengelo_3,13.64
fte_sofia_2,13.77
setup_hengelo_2,10.52
setup_hengelo_4,12.11
fte_sofia_7,15.22
fte_sofia_6,13.21
setup_sofia_7,13.56
setup_sofia_4,14.38
