equipment_id,test_id,test_name,start,end
setup_hengelo_1,mwcu_a7_3_Leak_seq1,Leak,2027-01-11T00:00:00,2027-01-14T00:00:00
setup_hengelo_1,mwcu_a7_7_Leak_seq1,Leak,2027-01-14T00:00:00,2027-01-17T00:00:00
setup_hengelo_1,mwcu_a7_5_K-01_seq4,K-01,2027-01-21T00:00:00,2027-01-25T00:00:00
setup_hengelo_1,mwcu_b10_7_K-02_seq3,K-02,2027-01-25T00:00:00,2027-02-10T00:00:00
setup_hengelo_1,mwcu_b10_4_K-01_seq2,K-01,2027-02-11T00:00:00,2027-02-15T00:00:00
setup_hengelo_1,mwcu_a7_3_P-02_seq6,P-02,2027-04-29T00:00:00,2027-05-05T00:00:00
setup_hengelo_1,mwcu_b10_2.1_K-06_seq8,K-06,2027-05-30T00:00:00,2027-06-15T00:00:00
setup_hengelo_1,mwcu_b10_5a_P-02-L_seq1,P-02-L,2027-06-21T00:00:00,2027-06-27T00:00:00
setup_hengelo_1,mwcu_a7_5a_K-14_seq2,K-14,2027-07-08T00:00:00,2027-08-07T00:00:00
setup_hengelo_1,mwcu_b10_2.2_P-02_seq14,P-02,2027-08-21T00:00:00,2027-08-27T00:00:00
setup_hengelo_1,mwcu_b10_6_P-02-L_seq6,P-02-L,2027-08-30T00:00:00,2027-09-05T00:00:00
setup_hengelo_1,mwcu_b10_2.2_M-04_seq17,M-04,2027-09-10T00:00:00,2027-09-26T00:00:00
setup_hengelo_1,mwcu_b10_4_Leak_seq5,Leak,2027-10-18T00:00:00,2027-10-26T00:00:00
setup_hengelo_1,mwcu_b10_4_P-03-E_seq6,P-03-E,2027-10-26T00:00:00,2027-11-28T00:00:00
setup_hengelo_1,mwcu_b10_2.1_HV S_seq19,HV S,2028-01-20T00:00:00,2028-02-05T00:00:00
setup_hengelo_1,mwcu_a7_4_P-04_seq7,P-04,2028-02-12T00:00:00,2028-02-28T00:00:00
setup_hengelo_1,mwcu_b10_2.1_P-02-L_seq23,P-02-L,2028-03-04T00:00:00,2028-03-10T00:00:00
setup_hengelo_1,mwcu_a7_2.1_M-03_seq20,M-03,2028-05-13T00:00:00,2028-05-29T00:00:00
setup_hengelo_1,mwcu_a7_2.1_P-02-L_seq21,P-02-L,2028-05-31T00:00:00,2028-06-06T00:00:00
setup_hengelo_1,mwcu_a7_2.1_P-03-E_seq29,P-03-E,2028-09-07T00:00:00,2028-10-10T00:00:00
setup_hengelo_2,mwcu_b10_4_Leak_seq1,Leak,2027-01-11T00:00:00,2027-01-14T00:00:00
setup_hengelo_2,mwcu_a7_3_K-01_seq2,K-01,2027-01-14T00:00:00,2027-01-18T00:00:00
setup_hengelo_2,mwcu_a7_2.2_K-04_seq3,K-04,2027-01-18T00:00:00,2027-01-26T00:00:00
setup_hengelo_2,mwcu_a7_3_P-03_seq4,P-03,2027-02-03T00:00:00,2027-03-08T00:00:00
setup_hengelo_2,mwcu_a7_2.2_K-05_seq6,K-05,2027-03-16T00:00:00,2027-04-27T00:00:00
setup_hengelo_2,mwcu_b10_2.2_P-03-L_seq7,P-03-L,2027-04-27T00:00:00,2027-05-30T00:00:00
setup_hengelo_2,mwcu_a7_6_P-03_seq3,P-03,2027-06-04T00:00:00,2027-07-07T00:00:00
setup_hengelo_2,mwcu_a7_5b_P-04_seq2,P-04,2027-07-10T00:00:00,2027-07-26T00:00:00
setup_hengelo_2,mwcu_b10_4_P-03_seq3,P-03,2027-09-06T00:00:00,2027-10-09T00:00:00
setup_hengelo_2,mwcu_b10_6_Leak_seq8,Leak,2027-10-09T00:00:00,2027-10-12T00:00:00
setup_hengelo_2,mwcu_a7_2.1_P-02-L_seq9,P-02-L,2027-10-22T00:00:00,2027-10-28T00:00:00
setup_hengelo_2,mwcu_a7_6_K-12_seq7,K-12,2027-11-08T00:00:00,2027-12-03T00:00:00
setup_hengelo_2,mwcu_a7_6_Leak_seq8,Leak,2027-12-03T00:00:00,2027-12-06T00:00:00
setup_hengelo_2,mwcu_a7_4_Leak_seq5,Leak,2027-12-06T00:00:00,2027-12-14T00:00:00
setup_hengelo_2,mwcu_a7_7_L-02_seq9,L-02,2028-01-01T00:00:00,2028-03-25T00:00:00
setup_hengelo_2,mwcu_b10_7_P-03_seq10,P-03,2028-03-25T00:00:00,2028-04-27T00:00:00
setup_hengelo_2,mwcu_b10_5a_Leak_seq3,Leak,2028-05-09T00:00:00,2028-05-12T00:00:00
setup_hengelo_2,mwcu_a7_2.1_K-12_seq26,K-12,2028-07-15T00:00:00,2028-08-09T00:00:00
setup_hengelo_2,mwcu_a7_3_P-03-E_seq15,P-03-E,2028-09-07T00:00:00,2028-10-10T00:00:00
setup_hengelo_2,mwcu_b10_7_Leak_seq15,Leak,2028-10-10T00:00:00,2028-10-13T00:00:00
setup_hengelo_2,mwcu_a7_3_P-04_seq17,P-04,2028-10-13T00:00:00,2028-10-29T00:00:00
setup_hengelo_3,mwcu_a7_2.1_Leak_seq1,Leak,2027-01-11T00:00:00,2027-01-14T00:00:00
setup_hengelo_3,mwcu_b10_7_K-01_seq2,K-01,2027-01-14T00:00:00,2027-01-18T00:00:00
setup_hengelo_3,mwcu_b10_6_Leak_seq1,Leak,2027-01-18T00:00:00,2027-01-21T00:00:00
setup_hengelo_3,mwcu_b10_5_K-01_seq4,K-01,2027-01-21T00:00:00,2027-01-25T00:00:00
setup_hengelo_3,mwcu_a7_2.2_P-03_seq4,P-03,2027-01-26T00:00:00,2027-02-28T00:00:00
setup_hengelo_3,mwcu_a7_2.2_K-02_seq5,K-02,2027-02-28T00:00:00,2027-03-16T00:00:00
setup_hengelo_3,mwcu_b10_7_L-02_seq5,L-02,2027-04-03T00:00:00,2027-06-26T00:00:00
setup_hengelo_3,mwcu_a7_6_K-10_seq4,K-10,2027-07-07T00:00:00,2027-07-13T00:00:00
setup_hengelo_3,mwcu_a7_2.2_P-02_seq14,P-02,2027-08-21T00:00:00,2027-08-27T00:00:00
setup_hengelo_3,mwcu_b10_2.2_M-05_seq15,M-05,2027-08-27T00:00:00,2027-09-04T00:00:00
setup_hengelo_3,mwcu_b10_7_L-02_seq7,L-02,2027-09-06T00:00:00,2027-11-29T00:00:00
