resource_id,utilization_percent
fte_sofia_3,17.56
setup_sofia_7,14.38
fte_sofia_9,10.35
setup_sofia_5,7.69
setup_sofia_9,20.42
setup_sofia_11,12.25
fte_sofia_5,12.52
fte_sofia_12,12.25
fte_sofia_16,3.73
setup_sofia_12,0.00
setup_sofia_16,17.56
fte_sofia_1,16.49
fte_sofia_10,7.69
setup_sofia_4,3.73
setup_sofia_3,0.00
fte_sofia_8,20.42
fte_sofia_7,7.52
fte_sofia_6,14.38
setup_sofia_14,16.49
setup_sofia_6,13.97
fte_sofia_14,13.97
setup_sofia_2,8.21
fte_sofia_2,8.21
setup_sofia_10,6.59
fte_sofia_13,6.59
fte_sofia_11,4.79
setup_sofia_1,4.79
setup_sofia_13,10.35
setup_sofia_8,12.52
fte_sofia_4,0.00
fte_sofia_15,0.00
setup_sofia_15,7.52
