equipment_id,test_id,test_name,start,end
setup_hengelo_1,dcc_21a_6_Leak_seq1,Leak,2026-08-31T00:00:00,2026-09-03T00:00:00
setup_hengelo_1,mwcu_b10_6_P-03_seq3,P-03,2026-09-06T00:00:00,2026-10-04T00:00:00
setup_hengelo_1,dcc_21a_6_K-10_seq4,K-10,2026-10-04T00:00:00,2026-10-09T00:00:00
setup_hengelo_1,mwcu_b10_6_K-11_seq5,K-11,2026-10-09T00:00:00,2026-10-14T00:00:00
setup_hengelo_1,mwcu_a7_6_P-02-L_seq6,P-02-L,2026-10-14T00:00:00,2026-10-19T00:00:00
setup_hengelo_1,dcc_21a_6_K-12_seq7,K-12,2026-10-19T00:00:00,2026-11-09T00:00:00
setup_hengelo_1,mwcu_a7_6_Leak_seq8,Leak,2026-11-09T00:00:00,2026-11-12T00:00:00
setup_hengelo_1,mwcu_a7_6_P-03-E_seq9,P-03-E,2026-11-12T00:00:00,2026-12-10T00:00:00
setup_hengelo_1,dcc_21a_2_K-05_seq6,K-05,2027-01-11T00:00:00,2027-02-15T00:00:00
setup_hengelo_1,mwcu_a7_2_P-03-L_seq7,P-03-L,2027-02-15T00:00:00,2027-03-15T00:00:00
setup_hengelo_1,dcc_21a_2_K-06_seq8,K-06,2027-03-15T00:00:00,2027-03-29T00:00:00
setup_hengelo_1,dcc_21a_2_P-02-L_seq9,P-02-L,2027-03-29T00:00:00,2027-04-03T00:00:00
setup_hengelo_1,dcc_21a_2_K-09_seq10,K-09,2027-04-03T00:00:00,2027-04-20T00:00:00
setup_hengelo_1,mwcu_a7_2_Leak_seq11,Leak,2027-04-20T00:00:00,2027-04-23T00:00:00
setup_hengelo_1,dcc_21a_2_P-03-L_seq12,P-03-L,2027-04-23T00:00:00,2027-05-21T00:00:00
setup_hengelo_1,mwcu_a7_2_K-03_seq13,K-03,2027-05-21T00:00:00,2027-05-24T00:00:00
setup_hengelo_1,mwcu_a7_2_P-02_seq14,P-02,2027-05-24T00:00:00,2027-05-29T00:00:00
setup_hengelo_1,mwcu_b10_2_M-05_seq15,M-05,2027-05-29T00:00:00,2027-06-05T00:00:00
setup_hengelo_1,dcc_21a_2_P-02-L_seq16,P-02-L,2027-06-05T00:00:00,2027-06-10T00:00:00
setup_hengelo_1,dcc_21a_2_M-04_seq17,M-04,2027-06-10T00:00:00,2027-06-24T00:00:00
setup_hengelo_1,mwcu_b10_2a_P-03_seq1,P-03,2027-06-24T00:00:00,2027-07-22T00:00:00
setup_hengelo_1,mwcu_a7_2a_HV S_seq2,HV S,2027-07-22T00:00:00,2027-08-05T00:00:00
setup_hengelo_1,mwcu_b10_5_P-03-E_seq11,P-03-E,2027-09-06T00:00:00,2027-10-04T00:00:00
setup_hengelo_1,mwcu_b10_3_P-03-E_seq15,P-03-E,2027-10-04T00:00:00,2027-11-01T00:00:00
setup_hengelo_1,mwcu_a7_2b_HV S_seq2,HV S,2027-11-01T00:00:00,2027-11-15T00:00:00
setup_hengelo_1,mwcu_b10_3_Leak_seq16,Leak,2027-11-15T00:00:00,2027-11-18T00:00:00
setup_hengelo_1,mwcu_b10_4_P-03-E_seq6,P-03-E,2027-11-18T00:00:00,2027-12-16T00:00:00
setup_hengelo_1,mwcu_a7_2a_P-03-E_seq12,P-03-E,2028-01-10T00:00:00,2028-02-07T00:00:00
setup_hengelo_1,dcc_21a_6_P-04_seq10,P-04,2028-02-07T00:00:00,2028-02-21T00:00:00
setup_hengelo_2,mwcu_b10_6_Leak_seq1,Leak,2026-08-31T00:00:00,2026-09-03T00:00:00
setup_hengelo_2,mwcu_a7_6_K-01_seq2,K-01,2026-09-03T00:00:00,2026-09-06T00:00:00
