project_id,project_name,project_leg_id,leg_number,leg_name,priority,start_iso_week
mwcu_b10,mwcu_b10,mwcu_b10_6,6,Water protection,8,2027-W02
mwcu_a7,mwcu_a7,mwcu_a7_6,6,Water protection,8,2027-W02
mwcu_a7,mwcu_a7,mwcu_a7_4,4,Sequence,5,2027-W02
mwcu_b10,mwcu_b10,mwcu_b10_4,4,Sequence,5,2027-W02
mwcu_a7,mwcu_a7,mwcu_a7_4a,4a,Sequence,5,2027-W02
mwcu_b10,mwcu_b10,mwcu_b10_4a,4a,Sequence,5,2027-W02
mwcu_a7,mwcu_a7,mwcu_a7_4b,4b,Sequence,5,2027-W02
mwcu_b10,mwcu_b10,mwcu_b10_4b,4b,Sequence,5,2027-W02
mwcu_b10,mwcu_b10,mwcu_b10_5,5,Sequence,7,2027-W02
mwcu_b10,mwcu_b10,mwcu_b10_5a,5a,Sequence,7,2027-W02
mwcu_b10,mwcu_b10,mwcu_b10_5b,5b,Sequence,7,2027-W02
mwcu_a7,mwcu_a7,mwcu_a7_5,5,Sequence,7,2027-W02
mwcu_a7,mwcu_a7,mwcu_a7_5a,5a,Sequence,7,2027-W02
mwcu_a7,mwcu_a7,mwcu_a7_5b,5b,Sequence,7,2027-W02
mwcu_b10,mwcu_b10,mwcu_b10_3,3,Sequence,6,2027-W02
mwcu_a7,mwcu_a7,mwcu_a7_3,3,Sequence,6,2027-W02
mwcu_b10,mwcu_b10,mwcu_b10_3a,3a,Sequence,6,2027-W02
mwcu_a7,mwcu_a7,mwcu_a7_3a,3a,Sequence,6,2027-W02
mwcu_a7,mwcu_a7,mwcu_a7_3b,3b,Sequence,6,2027-W02
mwcu_b10,mwcu_b10,mwcu_b10_3b,3b,Sequence,6,2027-W02
mwcu_b10,mwcu_b10,mwcu_b10_2.1,2.1,Life,3,2027-W02
mwcu_b10,mwcu_b10,mwcu_b10_2.2,2.2,VDA,2,2027-W02
mwcu_a7,mwcu_a7,mwcu_a7_2.1,2.1,Life,3,2027-W02
mwcu_a7,mwcu_a7,mwcu_a7_2.2,2.2,VDA,2,2027-W02
mwcu_a7,mwcu_a7,mwcu_a7_7,7,Sequence,8,2027-W02
mwcu_b10,mwcu_b10,mwcu_b10_7,7,Sequence,8,2027-W02
