fte_id,test_id,test_name,start,end
fte_hengelo_1,mwcu_a7_5_Leak_seq2,Leak,2026-10-01T00:00:00,2026-10-04T00:00:00
fte_hengelo_1,mwcu_a7_5_K-01_seq4,K-01,2026-10-08T00:00:00,2026-10-12T00:00:00
fte_hengelo_1,mwcu_a7_5_P-03_seq6,P-03,2026-11-02T00:00:00,2026-11-23T00:00:00
fte_hengelo_1,mwcu_a7_6_P-03-E_seq9,P-03-E,2026-12-11T00:00:00,2027-01-01T00:00:00
fte_hengelo_1,mwcu_a7_2.1_P-03_seq4,P-03,2027-01-26T00:00:00,2027-02-16T00:00:00
fte_hengelo_1,mwcu_a7_2.1_K-02_seq5,K-02,2027-02-16T00:00:00,2027-03-04T00:00:00
fte_hengelo_1,mwcu_a7_2.1_K-05_seq6,K-05,2027-03-04T00:00:00,2027-04-15T00:00:00
fte_hengelo_1,mwcu_a7_2.1_P-02-L_seq9,P-02-L,2027-05-22T00:00:00,2027-05-28T00:00:00
fte_hengelo_1,mwcu_a7_2.1_P-02-L_seq16,P-02-L,2027-08-16T00:00:00,2027-08-22T00:00:00
fte_hengelo_1,mwcu_a7_7_P-03_seq6,P-03,2027-08-22T00:00:00,2027-09-12T00:00:00
fte_hengelo_1,mwcu_a7_2.1_P-02-L_seq25,P-02-L,2027-12-01T00:00:00,2027-12-07T00:00:00
fte_hengelo_1,mwcu_a7_2.1_K-02_seq28,K-02,2028-01-07T00:00:00,2028-01-23T00:00:00
fte_hengelo_1,mwcu_a7_2.1_Leak_seq30,Leak,2028-02-13T00:00:00,2028-02-16T00:00:00
fte_hengelo_1,mwcu_a7_7_P-03-E_seq9,P-03-E,2028-03-14T00:00:00,2028-04-11T00:00:00
fte_hengelo_2,mwcu_a7_6_K-01_seq2,K-01,2026-10-01T00:00:00,2026-10-05T00:00:00
fte_hengelo_2,mwcu_a7_6_P-03_seq3,P-03,2026-10-05T00:00:00,2026-10-26T00:00:00
fte_hengelo_2,mwcu_a7_6_K-10_seq4,K-10,2026-10-26T00:00:00,2026-11-01T00:00:00
fte_hengelo_2,mwcu_a7_6_P-02-L_seq6,P-02-L,2026-11-07T00:00:00,2026-11-13T00:00:00
fte_hengelo_2,mwcu_a7_6_K-12_seq7,K-12,2026-11-13T00:00:00,2026-12-08T00:00:00
fte_hengelo_2,mwcu_a7_6_Leak_seq8,Leak,2026-12-08T00:00:00,2026-12-11T00:00:00
fte_hengelo_2,mwcu_a7_5_P-02_seq8,P-02,2026-12-26T00:00:00,2027-01-01T00:00:00
fte_hengelo_2,mwcu_a7_6_P-04_seq10,P-04,2027-01-01T00:00:00,2027-01-17T00:00:00
fte_hengelo_2,mwcu_a7_5_C-01_seq9,C-01,2027-01-17T00:00:00,2027-02-11T00:00:00
fte_hengelo_2,mwcu_a7_2.1_P-03-L_seq12,P-03-L,2027-06-21T00:00:00,2027-07-12T00:00:00
fte_hengelo_2,mwcu_a7_2.1_P-02_seq14,P-02,2027-07-16T00:00:00,2027-07-22T00:00:00
fte_hengelo_2,mwcu_a7_2.1_M-05_seq15,M-05,2027-07-26T00:00:00,2027-08-03T00:00:00
fte_hengelo_2,mwcu_a7_2.1_M-04_seq17,M-04,2027-08-30T00:00:00,2027-09-15T00:00:00
fte_hengelo_2,mwcu_a7_2.1_HV S_seq19,HV S,2027-10-06T00:00:00,2027-10-22T00:00:00
fte_hengelo_2,mwcu_a7_2.1_K-10_seq22,K-10,2027-11-13T00:00:00,2027-11-19T00:00:00
fte_hengelo_2,mwcu_a7_2.1_P-02-L_seq23,P-02-L,2027-11-19T00:00:00,2027-11-25T00:00:00
fte_hengelo_2,mwcu_a7_2.1_K-11_seq24,K-11,2027-11-25T00:00:00,2027-12-01T00:00:00
fte_hengelo_2,mwcu_a7_2.1_K-12_seq26,K-12,2027-12-07T00:00:00,2028-01-01T00:00:00
fte_hengelo_2,mwcu_a7_2.1_P-02-L_seq27,P-02-L,2028-01-01T00:00:00,2028-01-07T00:00:00
fte_hengelo_2,mwcu_a7_7_Leak_seq10,Leak,2028-04-11T00:00:00,2028-04-14T00:00:00
fte_hengelo_2,mwcu_a7_7_P-04_seq11,P-04,2028-04-14T00:00:00,2028-04-30T00:00:00
fte_hengelo_3,mwcu_a7_6_Leak_seq1,Leak,2026-09-28T00:00:00,2026-10-01T00:00:00
fte_hengelo_3,mwcu_a7_6_K-11_seq5,K-11,2026-11-01T00:00:00,2026-11-07T00:00:00
fte_hengelo_3,mwcu_a7_5_M-07_seq7,M-07,2026-11-23T00:00:00,2026-12-26T00:00:00
fte_hengelo_3,mwcu_a7_2.1_Leak_seq1,Leak,2027-01-11T00:00:00,2027-01-14T00:00:00
fte_hengelo_3,mwcu_a7_7_K-01_seq2,K-01,2027-01-14T00:00:00,2027-01-18T00:00:00
fte_hengelo_3,mwcu_a7_7_K-02_seq3,K-02,2027-01-18T00:00:00,2027-02-03T00:00:00
fte_hengelo_3,mwcu_a7_5_Leak_seq10,Leak,2027-02-11T00:00:00,2027-02-14T00:00:00
fte_hengelo_3,mwcu_a7_5a_P-02-L_seq1,P-02-L,2027-02-14T00:00:00,2027-02-20T00:00:00
fte_hengelo_3,mwcu_a7_7_L-02_seq5,L-02,2027-02-25T00:00:00,2027-03-30T00:00:00
fte_hengelo_3,mwcu_a7_2.1_P-03-L_seq7,P-03-L,2027-04-15T00:00:00,2027-05-06T00:00:00
fte_hengelo_3,mwcu_a7_2.1_K-06_seq8,K-06,2027-05-06T00:00:00,2027-05-22T00:00:00
