fte_id,test_id,test_name,start,end
fte_vincint,mwcu_b10_2_P-03l,P-03l,2025-09-08T00:00:00,2025-09-29T00:00:00
fte_vincint,mwcu_b10_3_L-03 (0-50%),L-03 (0-50%),2025-10-16T12:00:00,2025-11-17T00:00:00
fte_vincint,mwcu_b10_3_P-02,P-02,2025-11-17T00:00:00,2025-11-24T00:00:00
fte_vincint,mwcu_b10_3_P-02,P-02,2025-11-24T00:00:00,2025-12-01T00:00:00
fte_vincint,mwcu_b10_5_C-01,C-01,2025-12-01T00:00:00,2025-12-22T00:00:00
fte_vincint,mwcu_b10_2.b_P-03,P-03,2026-01-05T00:00:00,2026-01-26T00:00:00
fte_vincint,mwcu_b10_2.b_P-03,P-03,2026-01-29T12:00:00,2026-02-02T00:00:00
fte_vincint,mwcu_b10_3_K-02,K-02,2026-03-05T12:00:00,2026-03-19T12:00:00
fte_vincint,mwcu_b10_2.a_P-03E,P-03E,2026-03-23T00:00:00,2026-03-26T12:00:00
fte_vincint,mwcu_b10_2.a_P-03E,P-03E,2026-03-26T12:00:00,2026-03-30T00:00:00
fte_vincint,mwcu_b10_2.a_HV Safety,HV Safety,2026-03-30T00:00:00,2026-04-13T00:00:00
fte_vincint,mwcu_b10_2.a_Leak test,Leak test,2026-04-20T00:00:00,2026-04-23T12:00:00
fte_vincint,mwcu_b10_2.b_Physical Analysis,Physical Analysis,2026-04-23T12:00:00,2026-04-30T12:00:00
fte_mark,mwcu_b10_5_K-01,K-01,2025-09-08T00:00:00,2025-09-11T12:00:00
fte_mark,mwcu_b10_2_K-09,K-09,2025-09-29T00:00:00,2025-10-16T12:00:00
fte_mark,mwcu_b10_2_Leak test,Leak test,2025-10-16T12:00:00,2025-10-20T00:00:00
fte_mark,mwcu_b10_2_P-03l,P-03l,2025-10-20T00:00:00,2025-11-10T00:00:00
fte_mark,mwcu_b10_2_K-03,K-03,2025-11-10T00:00:00,2025-11-13T12:00:00
fte_mark,mwcu_b10_5_P-02,P-02,2025-11-17T00:00:00,2025-12-01T00:00:00
fte_mark,mwcu_b10_3_L-03 (50-100%),L-03 (50-100%),2025-12-01T00:00:00,2025-12-22T00:00:00
fte_mark,mwcu_b10_3_P-02,P-02,2026-01-15T12:00:00,2026-01-29T12:00:00
fte_mark,mwcu_b10_2.b_HV Safety,HV Safety,2026-02-02T00:00:00,2026-02-16T00:00:00
fte_mark,mwcu_b10_2.b_M-03 (Dust),M-03 (Dust),2026-02-16T00:00:00,2026-02-23T00:00:00
fte_mark,mwcu_b10_5_Leak test,Leak test,2026-02-23T00:00:00,2026-02-26T12:00:00
fte_mark,mwcu_b10_3_P-03,P-03,2026-02-26T12:00:00,2026-03-05T12:00:00
fte_mark,mwcu_b10_5_P-03E,P-03E,2026-03-09T12:00:00,2026-04-06T12:00:00
fte_mark,mwcu_b10_5_Physical Analysis,Physical Analysis,2026-04-20T12:00:00,2026-04-27T12:00:00
fte_hegelo_micky,mwcu_b10_3_P-03,P-03,2025-09-15T00:00:00,2025-10-16T12:00:00
fte_hegelo_micky,mwcu_b10_5_M-07,M-07,2025-10-23T12:00:00,2025-10-27T00:00:00
fte_hegelo_micky,mwcu_b10_4_Leak test,Leak test,2025-11-10T00:00:00,2025-11-13T12:00:00
