project,leg,test,duration,start,end,completion,done_end,alt,leg_num,client,duts
mwcu - b10,Leg 2 - Sequence,K-04,0.5,13.5,14.0,100,14.0,0,2.0,Daimler,4
mwcu - b10,Leg 2 - Sequence,P-03,6.0,14.0,20.0,100,20.0,1,2.0,Daimler,4
mwcu - b10,Leg 2 - Sequence,K-02,5.0,20.0,25.0,100,25.0,0,2.0,Daimler,4
mwcu - b10,Leg 2 - Sequence,K-05,5.0,25.0,30.0,100,30.0,1,2.0,Daimler,4
mwcu - b10,Leg 2 - Sequence,empty,1.0,30.0,31.0,0,30.0,0,2.0,Daimler,4
mwcu - b10,Leg 2 - Sequence,P03F,2.0,31.0,33.0,100,33.0,1,2.0,Daimler,4
mwcu - b10,Leg 2 - Sequence,empty,4.0,33.0,37.0,0,33.0,0,2.0,Daimler,4
mwcu - b10,Leg 2 - Sequence,P-03l,3.0,37.0,40.0,0,37.0,1,2.0,Daimler,4
mwcu - b10,Leg 2 - Sequence,K-09,2.5,40.0,42.5,0,40.0,0,2.0,Daimler,4
mwcu - b10,Leg 2 - Sequence,Leak test,0.5,42.5,43.0,0,42.5,1,2.0,Daimler,4
mwcu - b10,Leg 2 - Sequence,P-03l,3.0,43.0,46.0,0,43.0,0,2.0,Daimler,4
mwcu - b10,Leg 2 - Sequence,K-03,0.5,46.0,46.5,0,46.0,1,2.0,Daimler,4
mwcu - b10,Leg 2 - Sequence,P-02,2.0,46.5,48.5,0,46.5,0,2.0,Daimler,4
mwcu - b10,Leg 2 - Sequence,M-05 (Mech. Shock),1.0,48.5,49.5,0,48.5,1,2.0,Daimler,4
mwcu - b10,Leg 2 - Sequence,P-02l,0.5,49.5,50.0,0,49.5,0,2.0,Daimler,4
mwcu - b10,Leg 2 - Sequence,M-04 (Vib.),1.0,50.0,51.0,0,50.0,1,2.0,Daimler,4
mwcu - b10,Leg 2 - Sequence,M-04 (Vib.),1.0,53.0,54.0,0,53.0,0,2.0,Daimler,4
mwcu - b10,Leg 2.b - Sequence,P-03,3.0,54.0,57.0,0,54.0,0,2.0,Daimler,2
mwcu - b10,Leg 2.a - Sequence,P-03E,3.0,54.0,57.0,0,54.0,1,2.0,Daimler,2
mwcu - b10,Leg 2.b - Sequence,P-03,0.5,57.0,57.5,0,57.0,0,2.0,Daimler,2
mwcu - b10,Leg 2.a - Sequence,P-03E,0.5,57.0,57.5,0,57.0,1,2.0,Daimler,2
mwcu - b10,Leg 2.b - Sequence,P-03,0.5,57.5,58.0,0,57.5,0,2.0,Daimler,2
mwcu - b10,Leg 2.a - Sequence,P-03E,0.5,57.5,58.0,0,57.5,1,2.0,Daimler,2
mwcu - b10,Leg 2.a - Sequence,HV Safety,2.0,58.0,60.0,0,58.0,1,2.0,Daimler,2
mwcu - b10,Leg 2.b - Sequence,HV Safety,2.0,58.0,60.0,0,58.0,0,2.0,Daimler,2
mwcu - b10,Leg 2.a - Sequence,Leak test,0.5,60.0,60.5,0,60.0,1,2.0,Daimler,2
mwcu - b10,Leg 2.b - Sequence,M-03 (Dust),1.0,60.0,61.0,0,60.0,0,2.0,Daimler,2
mwcu - b10,Leg 2.a - Sequence,Physical Analysis,1.0,60.5,61.5,0,60.5,1,2.0,Daimler,2
mwcu - b10,Leg 2.b - Sequence,K-10 (Water protection),1.0,61.0,62.0,0,61.0,0,2.0,Daimler,2
mwcu - b10,Leg 2.b - Sequence,K-11 (Steam jet),1.0,62.0,63.0,0,62.0,1,2.0,Daimler,2
mwcu - b10,Leg 2.b - Sequence,,2.0,63.0,65.0,0,63.0,0,2.0,Daimler,2
mwcu - b10,Leg 2.b - Sequence,P-03E,4.0,65.0,69.0,0,65.0,1,2.0,Daimler,2
mwcu - b10,Leg 2.b - Sequence,Leak test,0.5,69.0,69.5,0,69.0,0,2.0,Daimler,2
mwcu - b10,Leg 2.b - Sequence,Physical Analysis,1.0,69.5,70.5,0,69.5,1,2.0,Daimler,2
mwcu - b10,Leg 3 - Life,K-01,0.5,26.0,26.5,100,26.5,0,3.0,Daimler,4
mwcu - b10,Leg 3 - Life,empty,2.5,26.5,29.0,0,26.5,1,3.0,Daimler,4
mwcu - b10,Leg 3 - Life,K-02,1.0,29.0,30.0,100,30.0,0,3.0,Daimler,4
mwcu - b10,Leg 3 - Life,empty,3.0,30.0,33.0,0,30.0,1,3.0,Daimler,4
mwcu - b10,Leg 3 - Life,K-02,1.0,33.0,34.0,100,34.0,0,3.0,Daimler,4
mwcu - b10,Leg 3 - Life,empty,7.0,34.0,41.0,0,34.0,1,3.0,Daimler,4
mwcu - b10,Leg 3 - Life,P-03,4.5,41.0,45.5,15,41.675,0,3.0,Daimler,4
mwcu - b10,Leg 3 - Life,L-03 (0-50%),4.5,45.5,50.0,0,45.5,1,3.0,Daimler,4
mwcu - b10,Leg 3 - Life,P-02,1.0,50.0,51.0,0,50.0,0,3.0,Daimler,4
mwcu - b10,Leg 3 - Life,P-02,1.0,53.0,54.0,0,53.0,1,3.0,Daimler,4
mwcu - b10,Leg 3 - Life,L-03 (50-100%),3.0,54.0,57.0,0,54.0,0,3.0,Daimler,4
mwcu - b10,Leg 3 - Life,L-03 (50-100%),1.5,57.0,58.5,0,57.0,1,3.0,Daimler,4
mwcu - b10,Leg 3 - Life,P-02,2.0,58.5,60.5,0,58.5,0,3.0,Daimler,4
mwcu - b10,Leg 3 - Life,P-03,3.0,60.5,63.5,0,60.5,1,3.0,Daimler,4
mwcu - b10,Leg 3 - Life,P-03,1.0,63.5,64.5,0,63.5,0,3.0,Daimler,4
mwcu - b10,Leg 3 - Life,K-02,2.0,64.5,66.5,0,64.5,1,3.0,Daimler,4
mwcu - b10,Leg 3 - Life,P-03E,4.0,66.5,70.5,0,66.5,0,3.0,Daimler,4
mwcu - b10,Leg 3 - Life,Leak test,0.5,70.5,71.0,0,70.5,1,3.0,Daimler,4
mwcu - b10,Leg 3 - Life,Physical Analysis,1.0,71.0,72.0,0,71.0,0,3.0,Daimler,4
mwcu - b10,Leg 4 - VDA,K-01,0.5,26.0,26.5,100,26.5,1,4.0,Daimler,2
mwcu - b10,Leg 4 - VDA,P-03,2.0,26.5,28.5,75,28.0,0,4.0,Daimler,2
mwcu - b10,Leg 4 - VDA,empty,7.5,28.5,36.0,0,28.5,1,4.0,Daimler,2
mwcu - b10,Leg 4 - VDA,VDA corrosion,8.0,36.0,44.0,10,36.8,0,4.0,Daimler,2
mwcu - b10,Leg 4 - VDA,Leak test,0.5,44.0,44.5,0,44.0,1,4.0,Daimler,2
mwcu - b10,Leg 4 - VDA,P-03E,4.0,44.5,48.5,0,44.5,0,4.0,Daimler,2
mwcu - b10,Leg 4 - VDA,Physical Analysis,1.0,48.5,49.5,0,48.5,1,4.0,Daimler,2
mwcu - b10,Leg 5 - K-14,K-01,0.5,45.5,46.0,0,45.5,0,5.0,Daimler,4
mwcu - b10,Leg 5 - K-14,P-03,4.0,46.0,50.0,0,46.0,1,5.0,Daimler,4
mwcu - b10,Leg 5 - K-14,M-07,0.5,50.0,50.5,0,50.0,0,5.0,Daimler,2
mwcu - b10,Leg 5 - K-14,M-07,0.5,50.5,51.0,0,50.5,1,5.0,Daimler,2
mwcu - b10,Leg 5 - K-14,M-07,3.0,53.0,56.0,0,53.0,0,5.0,Daimler,2
mwcu - b10,Leg 5 - K-14,P-02,2.0,56.0,58.0,0,56.0,1,5.0,Daimler,2
mwcu - b10,Leg 5 - K-14,C-01,3.0,58.0,61.0,0,58.0,0,5.0,Daimler,4
mwcu - b10,Leg 5 - K-14,Leak test,0.5,61.0,61.5,0,61.0,1,5.0,Daimler,4
mwcu - b10,Leg 5 - K-14,P-02l,0.5,61.5,62.0,0,61.5,0,5.0,Daimler,4
mwcu - b10,Leg 5 - K-14,K-14 Damp heat,3.5,62.0,65.5,0,62.0,1,5.0,Daimler,4
mwcu - b10,Leg 5 - K-14,Leak test,0.5,65.5,66.0,0,65.5,0,5.0,Daimler,4
mwcu - b10,Leg 5 - K-14,P-03E,4.0,66.0,70.0,0,66.0,1,5.0,Daimler,4
mwcu - b10,Leg 5 - K-14,Physical Analysis,1.0,70.0,71.0,0,70.0,0,5.0,Daimler,4
mwcu - b10,Leg 6 - water protection,K-01,0.5,5.5,6.0,100,6.0,1,6.0,Daimler,2
mwcu - b10,Leg 6 - water protection,P-03,9.5,6.0,15.5,100,15.5,0,6.0,Daimler,2
mwcu - b10,Leg 6 - water protection,K-10 (IPX6K),1.0,15.5,16.5,100,16.5,1,6.0,Daimler,2
mwcu - b10,Leg 6 - water protection,K-11 (Steam jet),1.0,16.5,17.5,100,17.5,0,6.0,Daimler,2
mwcu - b10,Leg 6 - water protection,P-02l,0.5,17.5,18.0,100,18.0,1,6.0,Daimler,2
mwcu - b10,Leg 6 - water protection,K-12,2.0,18.0,20.0,100,20.0,0,6.0,Daimler,2
mwcu - b10,Leg 6 - water protection,Leak test,0.5,20.0,20.5,100,20.5,1,6.0,Daimler,2
mwcu - b10,Leg 6 - water protection,empty,5.0,20.5,25.5,100,25.5,0,6.0,Daimler,2
mwcu - b10,Leg 6 - water protection,P-03E,6.0,25.5,31.5,100,31.5,1,6.0,Daimler,2
