fte_id,available_start_date,available_end_date_exclusive
fte_fte_1771844030249_giv5k8uv1,2024-12-30,2026-12-21
fte_fte_1771844030249_giv5k8uv1,2027-01-05,2027-08-08
fte_fte_1771844030249_giv5k8uv1,2027-08-29,2027-12-20
fte_fte_1771844030249_giv5k8uv1,2028-01-04,2035-12-31
fte_fte_1771844031194_iwk2kh1an,2024-12-30,2026-12-21
fte_fte_1771844031194_iwk2kh1an,2027-01-05,2027-08-08
fte_fte_1771844031194_iwk2kh1an,2027-08-29,2027-12-20
fte_fte_1771844031194_iwk2kh1an,2028-01-04,2035-12-31
fte_fte_1771844031689_5b9exk8c0,2024-12-30,2026-12-21
fte_fte_1771844031689_5b9exk8c0,2027-01-05,2027-08-08
fte_fte_1771844031689_5b9exk8c0,2027-08-29,2027-12-20
fte_fte_1771844031689_5b9exk8c0,2028-01-04,2035-12-31
fte_fte_1771844032184_ivtp7b4cs,2024-12-30,2026-12-21
fte_fte_1771844032184_ivtp7b4cs,2027-01-05,2027-08-08
fte_fte_1771844032184_ivtp7b4cs,2027-08-29,2027-12-20
fte_fte_1771844032184_ivtp7b4cs,2028-01-04,2035-12-31
fte_fte_1771844032679_jz1c611rt,2024-12-30,2026-12-21
fte_fte_1771844032679_jz1c611rt,2027-01-05,2027-08-08
fte_fte_1771844032679_jz1c611rt,2027-08-29,2027-12-20
fte_fte_1771844032679_jz1c611rt,2028-01-04,2035-12-31
fte_fte_1771844033129_gj2lhxa15,2024-12-30,2026-12-21
fte_fte_1771844033129_gj2lhxa15,2027-01-05,2027-08-08
fte_fte_1771844033129_gj2lhxa15,2027-08-29,2027-12-20
fte_fte_1771844033129_gj2lhxa15,2028-01-04,2035-12-31
fte_fte_1771844033579_b3oxgy2lg,2024-12-30,2026-12-21
fte_fte_1771844033579_b3oxgy2lg,2027-01-05,2027-08-08
fte_fte_1771844033579_b3oxgy2lg,2027-08-29,2027-12-20
fte_fte_1771844033579_b3oxgy2lg,2028-01-04,2035-12-31
fte_fte_1771844034163_willjoivc,2024-12-30,2026-12-21
fte_fte_1771844034163_willjoivc,2027-01-05,2027-08-08
fte_fte_1771844034163_willjoivc,2027-08-29,2027-12-20
fte_fte_1771844034163_willjoivc,2028-01-04,2035-12-31
