fte_id,test_id,test_name,start,end
fte_fte_1771844030249_giv5k8uv1,mwcu_6_leak_1_seq1,Leak,2026-09-29T00:00:00,2026-10-02T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_6_k_01_2_seq2,K-01,2026-10-02T00:00:00,2026-10-06T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_6_p_03_3_seq3,P-03,2026-10-06T00:00:00,2026-11-03T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_6_k_10_4_seq4,K-10,2026-11-03T00:00:00,2026-11-09T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_6_k_11_5_seq5,K-11,2026-11-09T00:00:00,2026-11-15T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_6_p_02_l_6_seq6,P-02-L,2026-11-15T00:00:00,2026-11-18T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_6_k_12_7_seq7,K-12,2026-11-18T00:00:00,2026-12-13T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_6_leak_8_seq8,Leak,2026-12-13T00:00:00,2026-12-16T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_6_p_03_e_9_seq9,P-03-E,2027-01-05T00:00:00,2027-02-02T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_6_rep_10_seq10,Rep,2027-02-02T00:00:00,2027-02-16T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_6_p_04_11_seq11,P-04,2027-02-16T00:00:00,2027-03-04T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_5_1_p_04_10_seq10,P-04,2027-03-04T00:00:00,2027-03-20T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_5_2_2_k_14_4_seq4,K-14,2027-03-20T00:00:00,2027-04-19T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_5_2_2_leak_5_seq5,Leak,2027-04-19T00:00:00,2027-04-22T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_5_2_2_p_03_e_6_seq6,P-03-E,2027-04-22T00:00:00,2027-05-20T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_5_2_2_rep_7_seq7,Rep,2027-05-20T00:00:00,2027-06-03T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_5_2_2_p_04_8_seq8,P-04,2027-06-03T00:00:00,2027-06-19T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_4_2_vda_4_seq4,VDA,2027-06-26T00:00:00,2027-07-08T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_p_03_l_7_seq7,P-03-L,2027-07-16T00:00:00,2027-08-06T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_k_06_8_seq8,K-06,2027-08-29T00:00:00,2027-09-14T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_p_02_l_9_seq9,P-02-L,2027-09-14T00:00:00,2027-09-17T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_k_09_10_seq10,K-09,2027-09-17T00:00:00,2027-10-08T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_leak_11_seq11,Leak,2027-10-08T00:00:00,2027-10-11T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_p_03_l_12_seq12,P-03-L,2027-10-11T00:00:00,2027-11-01T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_k_03_13_seq13,K-03,2027-11-01T00:00:00,2027-11-05T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_p_02_14_seq14,P-02,2027-11-05T00:00:00,2027-11-19T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_m_05_15_seq15,M-05,2027-11-19T00:00:00,2027-11-27T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_p_02_l_16_seq16,P-02-L,2027-11-27T00:00:00,2027-11-30T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_m_04_17_seq17,M-04,2027-11-30T00:00:00,2027-12-16T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_1_p_02_l_20_seq20,P-02-L,2027-12-17T00:00:00,2027-12-20T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_p_03_18_seq18,P-03,2028-01-04T00:00:00,2028-02-01T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_m_03_19_seq19,M-03,2028-02-01T00:00:00,2028-02-17T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_p_02_l_20_seq20,P-02-L,2028-02-17T00:00:00,2028-02-20T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_k_10_21_seq21,K-10,2028-02-20T00:00:00,2028-02-26T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_p_02_l_22_seq22,P-02-L,2028-02-26T00:00:00,2028-02-29T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_k_11_23_seq23,K-11,2028-02-29T00:00:00,2028-03-06T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_p_02_l_24_seq24,P-02-L,2028-03-06T00:00:00,2028-03-09T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_k_12_25_seq25,K-12,2028-03-09T00:00:00,2028-04-03T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_p_02_l_26_seq26,P-02-L,2028-04-03T00:00:00,2028-04-06T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_k_02_27_seq27,K-02,2028-04-06T00:00:00,2028-04-22T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_p_03_e_28_seq28,P-03-E,2028-04-22T00:00:00,2028-05-20T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_leak_29_seq29,Leak,2028-05-20T00:00:00,2028-05-23T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_rep_30_seq30,Rep,2028-05-23T00:00:00,2028-06-06T00:00:00
fte_fte_1771844030249_giv5k8uv1,mwcu_2_2_p_04_31_seq31,P-04,2028-06-06T00:00:00,2028-06-22T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_5_1_leak_1_seq1,Leak,2026-09-29T00:00:00,2026-10-02T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_5_1_k_01_2_seq2,K-01,2026-10-02T00:00:00,2026-10-06T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_5_1_p_03_3_seq3,P-03,2026-10-06T00:00:00,2026-11-03T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_5_1_c_01_4_seq4,C-01,2026-11-03T00:00:00,2026-11-28T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_5_1_p_02_l_5_seq5,P-02-L,2026-11-28T00:00:00,2026-12-01T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_5_1_m_07_6_seq6,M-07,2026-12-01T00:00:00,2026-12-15T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_5_1_leak_7_seq7,Leak,2026-12-15T00:00:00,2026-12-18T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_5_1_p_03_e_8_seq8,P-03-E,2027-01-05T00:00:00,2027-02-02T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_5_2_2_leak_1_seq1,Leak,2027-02-02T00:00:00,2027-02-05T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_5_1_rep_9_seq9,Rep,2027-02-05T00:00:00,2027-02-19T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_2_1_leak_1_seq1,Leak,2027-02-19T00:00:00,2027-02-22T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_2_1_k_01_2_seq2,K-01,2027-02-22T00:00:00,2027-02-26T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_2_1_k_04_3_seq3,K-04,2027-02-26T00:00:00,2027-03-06T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_2_1_p_03_4_seq4,P-03,2027-03-06T00:00:00,2027-04-03T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_2_2_leak_1_seq1,Leak,2027-04-03T00:00:00,2027-04-06T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_2_2_k_01_2_seq2,K-01,2027-04-06T00:00:00,2027-04-10T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_2_2_k_04_3_seq3,K-04,2027-04-10T00:00:00,2027-04-18T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_2_2_p_03_4_seq4,P-03,2027-04-18T00:00:00,2027-05-16T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_4_2_leak_1_seq1,Leak,2027-05-16T00:00:00,2027-05-19T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_2_2_k_02_5_seq5,K-02,2027-05-19T00:00:00,2027-06-04T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_2_2_k_05_6_seq6,K-05,2027-06-04T00:00:00,2027-07-16T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_2_1_leak_11_seq11,Leak,2027-07-31T00:00:00,2027-08-03T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_2_1_p_03_l_12_seq12,P-03-L,2027-08-29T00:00:00,2027-09-19T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_2_1_k_03_13_seq13,K-03,2027-09-19T00:00:00,2027-09-23T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_2_1_p_02_14_seq14,P-02,2027-09-23T00:00:00,2027-10-07T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_4_2_p_04_8_seq8,P-04,2027-10-13T00:00:00,2027-10-29T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_2_1_p_03_18_seq18,P-03,2027-11-03T00:00:00,2027-12-01T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_2_1_m_03_19_seq19,M-03,2027-12-01T00:00:00,2027-12-17T00:00:00
fte_fte_1771844031194_iwk2kh1an,mwcu_2_1_k_10_21_seq21,K-10,2028-01-04T00:00:00,2028-01-10T00:00:00
