resource_id,utilization_percent
fte_fte_1771844031194_iwk2kh1an,12.52
fte_fte_1771844030249_giv5k8uv1,14.07
setup_equipment_1771844064495_ho8l50cp6,12.24
fte_fte_1771844032184_ivtp7b4cs,4.46
setup_equipment_1771844062514_d3pz8t1n8,11.76
setup_equipment_1771844062290_dnygabr9q,14.01
setup_equipment_1771844065395_92rzt3qej,9.15
fte_fte_1771844033129_gj2lhxa15,7.14
fte_fte_1771844033579_b3oxgy2lg,3.25
setup_equipment_1771844064990_4vdimi02x,9.07
fte_fte_1771844032679_jz1c611rt,7.62
setup_equipment_1771844063460_b5pbyfevk,5.66
fte_fte_1771844031689_5b9exk8c0,7.87
setup_equipment_1771844064000_x8y0p68e1,12.31
setup_equipment_1771844063100_r20sl0mni,9.60
fte_fte_1771844034163_willjoivc,3.13
