project_id,project_name,project_leg_id,leg_number,leg_name,priority,start_iso_week
mwcu_a7,mwcu_a7,mwcu_a7_6,6,Water protection,8,2026-W40
mwcu_a7,mwcu_a7,mwcu_a7_5.1,5.1,Sequence,7,2026-W40
mwcu_a7,mwcu_a7,mwcu_a7_4.1,4,Sequence,5,2026-W40
mwcu_a7,mwcu_a7,mwcu_a7_4.2,4,Sequence,5,2027-W02
mwcu_a7,mwcu_a7,mwcu_a7_5.2.1,5.2,Sequence,7,2027-W02
mwcu_a7,mwcu_a7,mwcu_a7_5.2.2,5.2,Sequence,7,2027-W02
mwcu_a7,mwcu_a7,mwcu_a7_3.1,3,Sequence,6,2027-W02
mwcu_a7,mwcu_a7,mwcu_a7_3.2,3,Sequence,6,2027-W22
mwcu_a7,mwcu_a7,mwcu_a7_2.1,2.1,Life,3,2027-W13
mwcu_a7,mwcu_a7,mwcu_a7_2.2,2.2,VDA,2,2027-W13
mwcu_a7,mwcu_a7,mwcu_a7_7.1,7,Sequence,8,2027-W02
mwcu_a7,mwcu_a7,mwcu_a7_7.2,7,Sequence,8,2027-W02
